"district","Year","timePeriod","Production","AreaHarvested"
84,2003,1999,24324058358.1,1200.75
91,2003,1999,69814584298.8,2683.71
92,2003,1999,71182860775.4,2710.56
93,2003,1999,35267081800.1,1558.37
94,2003,1999,44443763604.9,2520.25
95,2003,1999,64887031867.7,2798.18
96,2003,1999,73478828943.6,3154.6
97,2003,1999,38894934601.2,1627.83
145,2003,1999,56373450791.548,3459.6511
146,2003,1999,153920413688.201,8720.4089
147,2003,1999,100026647886.288,5013.7159
1,2004,1999,212476569242.8,8160.99
3,2004,1999,405010303540.3,17215.44
7,2004,1999,113292988577.8,6219.51
10,2004,1999,30982967179.9,1906.32
12,2004,1999,185644620877,17387.17
13,2004,1999,478345409167.736,21171.9627
15,2004,1999,773516240777.9,42526.4
16,2004,1999,290459186958.403,18215.1493
51,2004,1999,29335651110.7,1024.29
53,2004,1999,48325278405.4,1522.89
55,2004,1999,93677030759.8,4026.56
57,2004,1999,109018124257.7,4438.89
59,2004,1999,31560145968.3,1215.08
64,2004,1999,65324250076,2850.28
65,2004,1999,46500985743.8,2437.23
66,2004,1999,78996423120.1,3905.2
81,2004,1999,80158360367.654,4200.9154
82,2004,1999,42510612665.9,2263.54
83,2004,1999,7803999737.7,439.77
84,2004,1999,23521450591.4,1238.76
91,2004,1999,62373349985.4,2699.83
92,2004,1999,63617979876.9,2780.17
93,2004,1999,32251565038.2,1581.8
94,2004,1999,38425336801.1,2579.82
95,2004,1999,46822889839.4,2831.74
96,2004,1999,56756240983.7,3294.41
97,2004,1999,32690420815.2,1548.5
145,2004,1999,55145784964.078,3352.2099
146,2004,1999,123685736017.742,8566.259
147,2004,1999,90433270598.9,4711.9179
1,2005,1999,226185831991.7,8456.6
3,2005,1999,486679426936.8,18084.28
7,2005,1999,145096776152,6419.02
10,2005,1999,40765422480.2,2116.66
12,2005,1999,358922545577.7,17905.6
13,2005,1999,563773091713.908,21598.4615
15,2005,1999,1078617980120.8,44389.06
16,2005,1999,418842745327.43,18583.9357
51,2005,1999,31907816283.8,1036.54
53,2005,1999,56747758360.8,1593.87
55,2005,1999,101349681408.2,4135.98
57,2005,1999,117796378394.2,4581.04
59,2005,1999,33657251613,1263.41
64,2005,1999,82160856216.1,2943.65
65,2005,1999,59594077584.1,2628.32
66,2005,1999,95546211427.1,4067.46
81,2005,1999,109862339970.332,4428.1535
82,2005,1999,59036036677.6,2361.81
83,2005,1999,9561724871.2,461.86
84,2005,1999,27375996055.6,1311.58
91,2005,1999,80753023319.9,2854.254
92,2005,1999,80207950582.1,2887.01
93,2005,1999,40272570440,1637.44
94,2005,1999,51815326406.1,2658.16
95,2005,1999,74129785006.6,3064.47
96,2005,1999,86539535048.8,3436.09
97,2005,1999,46889578019.6,1742.58
145,2005,1999,74827133996.556,3495.3383
146,2005,1999,213650685152.967,8871.8856
147,2005,1999,137892153308.012,5073.8921
1,2006,1999,237704202450.1,8610.83
3,2006,1999,482294756504.6,18127.96
7,2006,1999,133340154165.5,6469.3
10,2006,1999,40698262102.2,2253.24
12,2006,1999,308646241022.6,17523.75
13,2006,1999,500619149910.3,20852
15,2006,1999,950318991854.6,43459.13
16,2006,1999,379202962807.522,19141.7258
51,2006,1999,30477463098,1014.82
53,2006,1999,49391992500,1497.07
55,2006,1999,100655176199.4,4046.03
57,2006,1999,123825816816,4734.92
59,2006,1999,33956225341.4,1286.26
64,2006,1999,78400973321.3,3045
65,2006,1999,55436700017.6,2642.72
66,2006,1999,93317421192.4,4181.24
81,2006,1999,102102818830.832,4539.2436
82,2006,1999,53358383892.012,2382.2973
83,2006,1999,8941340305.7,454.15
84,2006,1999,26563911236.8,1313.83
91,2006,1999,76467498160.4,2934.73
92,2006,1999,78278189023.4,2917.81
93,2006,1999,40192091446.5,1743.25
94,2006,1999,47597049622.2,2733.18
95,2006,1999,68863383737.1,3034.6
96,2006,1999,78470348880.7,3576.58
97,2006,1999,43161814877.3,1709.45
145,2006,1999,63426769077.1,3383.03
146,2006,1999,194570051816,8798.506
147,2006,1999,129973628524.6,5137.61
1,2007,1999,223066438565.2,8674.06
3,2007,1999,446732094075.5,18146.68
7,2007,1999,140894275151,6576.04
10,2007,1999,40296778697.4,2285.51
12,2007,1999,248532519611.4,16907
13,2007,1999,476861045827.4,20495.89
15,2007,1999,911837959140,43676.31
16,2007,1999,360484072790.7,18266.76
51,2007,1999,27848064066.7,983.25
53,2007,1999,45262750265,1454.89
55,2007,1999,98155195230.9,4082.57
57,2007,1999,119647716565.1,4754.15
59,2007,1999,32815226600.9,1261.13
64,2007,1999,75880955039,3015.15
65,2007,1999,59442596971.1,2697.77
66,2007,1999,96150656261.2,4267.71
81,2007,1999,107882086384.996,4656.3885
82,2007,1999,55325540679.164,2356.6508
83,2007,1999,9326320387.3,492.84
84,2007,1999,26831150180.2,1325.98
91,2007,1999,74514505015.3,2998.35
92,2007,1999,75214270011.3,2902.25
93,2007,1999,39083617263.712,1730.6312
94,2007,1999,48525103453.7,2832.67
95,2007,1999,70204510314.8,3123.43
96,2007,1999,80526577647.9,3602.99
97,2007,1999,42896478295.6,1719.34
145,2007,1999,63312785202.9,3407.88
146,2007,1999,171031377555.9,8971.16
147,2007,1999,115450833778.9,5172
1,2008,1999,198395058899.3,8900.16
3,2008,1999,436056184562.1,18177.68
