"cv","asynchronyB","asynchronyW","diversity","landscape","size","rep"
0.0783361634600948,0,0.8299780729,1,"specialized",1,1
0.100917660353342,0.5117830272,0.6446799968,2,"specialized",1,1
0.0831156518986142,0.5836932366,0.500373351533333,3,"specialized",1,1
0.107794079475757,0.509236302,0.439391039175,4,"specialized",1,1
0.0960702428977622,0.6734703413,0.34448296916,5,"specialized",1,1
0.0840773692632032,0.6943054153,0.463271954933333,6,"specialized",1,1
0.0919683402613404,0.7166802645,0.258424323085714,7,"specialized",1,1
0.114218624628761,0.6265640421,0.246857872575,8,"specialized",1,1
0.0798657232329247,0.8670474997,0.303509284644444,9,"specialized",1,1
0.088053684361175,0.7903424907,0.1764263607,10,"specialized",1,1
0.0816330394883419,0.7609935886,0.328942186527273,11,"specialized",1,1
0.107383606152125,0.7240991035,0.358027726416667,12,"specialized",1,1
0.138155230762426,0.6167979559,0.310710810308333,13,"specialized",1,1
0.11304569966782,0.7821412767,0.1732405367,14,"specialized",1,1
0.057360345425581,0,0.8429328019,1,"fragmented",1,1
0.088425776293694,0.5208252331,0.755689222,2,"fragmented",1,1
0.0852664811623972,0.5122572623,0.524311010466667,3,"fragmented",1,1
0.0623099320255837,0.6753683341,0.63595303725,4,"fragmented",1,1
0.0509902772366414,0.8292857011,0.6226350727,5,"fragmented",1,1
0.123690952770292,0.407666326,0.431515434116667,6,"fragmented",1,1
0.0684910884223463,0.8189452367,0.397312234685714,7,"fragmented",1,1
0.0592506773117317,0.8290486101,0.3807419849,8,"fragmented",1,1
0.0712807121981913,0.871303409,0.354902355822222,9,"fragmented",1,1
0.047404530986692,0.9437474111,0.46933563643,10,"fragmented",1,1
0.0877680856015848,0.7653847712,0.3847344015,11,"fragmented",1,1
0.13527156234681,0.6656162148,0.338690302183333,12,"fragmented",1,1
0.103642192752057,0.7761284689,0.372031794825,13,"fragmented",1,1
0.0952614316094929,0.8202428432,0.263992896353846,14,"fragmented",1,1
0.0597690293376293,0,0.869498554,1,"diversified",1,1
0.0598380861435797,0.6418832673,0.845914882,2,"diversified",1,1
0.0836285957293715,0.0896696202,0.6788390687,3,"diversified",1,1
0.0775226221703098,0.3076055879,0.715042256575,4,"diversified",1,1
0.0745875988196869,0.3940432138,0.72304929338,5,"diversified",1,1
0.0482725428743024,0.5161501161,0.73772808485,6,"diversified",1,1
0.0703836402760742,0.4048852354,0.748215213314286,7,"diversified",1,1
0.0896352533179483,0.4584643851,0.648135883425,8,"diversified",1,1
0.071748105385524,0.674868801,0.747554692055556,9,"diversified",1,1
