"district","timePeriod","nFarms","nCrops","nCropsFarmMin","nCropsFarmMax","stabilityProduction","asynchronyBetween_region","asynchronyBetween_farm","asynchronyWithin","areaHarvested","diversity"
94,2008,130,6,1,4,19.1493644036188,0.3822447134859,0.437265304362943,0.908369355852359,31948.63,2.85082357063622
12,1998,78,9,1,6,5.32090140079158,0.301901324246122,0.417594827481938,0.555169860411879,180776.65,4.68963475776415
12,2008,105,9,1,8,7.58583884151421,0.546313051305789,0.498734846302854,0.581312407619842,264652.38,4.92767269518193
145,1998,45,6,1,5,11.1860318394273,0.256032215654186,0.510212498262948,0.802072343965405,37119.698,3.1867364610738
145,2008,36,7,1,5,18.5008402809551,0.720440526619737,0.66408528362261,0.761693687605563,43626.4913,3.38453397481679
97,1998,91,8,1,4,12.3854432567677,0.310968166780847,0.478412669885834,0.800069708848265,18938.9766,3.58674668631601
97,2008,34,7,1,4,17.3186899952299,0.654674937805434,0.531937718521484,0.734696114368574,9898.68,3.47566003307641
82,1998,57,8,1,5,13.0909101197355,0.451776810042244,0.554875440503254,0.767869581814204,21899.1708,4.45378989125799
82,2008,52,8,1,5,16.3156060120032,0.577017328798798,0.580513619885336,0.828234225911199,23868.9692,4.44278128359652
91,1998,97,7,1,5,13.735021136828,0.491439131119971,0.537831909262614,0.745020319232888,25720.99,4.45990669970442
91,2008,117,7,1,5,16.6637520721841,0.54141105634455,0.52928353309271,0.827833331222428,39462.5532,4.43948448215846
10,1998,51,5,1,4,9.44487416010058,0.321166772382684,0.44518293904593,0.770268629973154,19645.3654,3.44955532798066
10,2008,57,5,1,5,14.9703267810756,0.390661233804695,0.493593229173705,0.886878648891787,27966.4347,3.29313584961515
83,1998,23,8,1,4,12.7942798693573,0.629749656142416,0.364962281344035,0.663524166542975,3908.2917,4.12226168332468
83,2008,16,6,1,4,8.9475816106642,0.631977730736308,0.444135273987803,0.406913099933457,6303.44,3.0786551205969
