"REGION_ID","timePeriod","no","asynchrony","AreaHarvested","propNo","propAsynchrony","metric"
3,1998,1,0,27.9103512396694,0.255193722914343,0,"asynchronyBetween"
3,1998,2,0.1332795259,44.7708234618916,0.409354687766956,0.288912872167579,"asynchronyBetween"
3,1998,3,0.1875822098,58.7147091761774,0.536848321822807,0.406625958750198,"asynchronyBetween"
3,1998,4,0.4311735087,71.6819715875249,0.655412360746675,0.934664015045762,"asynchronyBetween"
3,1998,5,0.4613139072,84.3325143506828,0.771080525467902,1,"asynchronyBetween"
3,1998,6,0.4585384743,96.9738476840161,0.886664485276669,0.993983634881407,"asynchronyBetween"
3,1998,7,0.4610653622,109.369270219227,1,0.99946122370013,"asynchronyBetween"
3,1998,1,0,202.39,0.0126258357075527,0,"asynchronyWithin"
3,1998,2,0.221555267835471,350.233,0.0218488280911276,0.275328901339695,"asynchronyWithin"
3,1998,3,0.327915292211926,493.333,0.0307759346168986,0.407503545364766,"asynchronyWithin"
3,1998,4,0.358384142454262,616.976,0.0384892416201544,0.445367483984974,"asynchronyWithin"
3,1998,5,0.374467255279338,738.239,0.0460540754331144,0.46535412581711,"asynchronyWithin"
3,1998,6,0.400487653462483,852.817,0.0532018742556846,0.49768992949345,"asynchronyWithin"
3,1998,7,0.534404358165701,967.38,0.0603487373228537,0.664109530061694,"asynchronyWithin"
3,1998,8,0.555400086217359,1081.628,0.0674759495266013,0.690201126952014,"asynchronyWithin"
3,1998,9,0.534825133726707,1195.637,0.074588252027626,0.6646324319726,"asynchronyWithin"
3,1998,10,0.526113711908238,1309.62,0.0816989325526222,0.653806662755652,"asynchronyWithin"
3,1998,20,0.608362520297185,2381.084,0.14854081421949,0.756018062518192,"asynchronyWithin"
3,1998,30,0.638112338895099,3346.711,0.20878019292781,0.792988453471395,"asynchronyWithin"
3,1998,40,0.645450025521222,4186.573,0.261173886435477,0.802107068509904,"asynchronyWithin"
3,1998,50,0.682774140675751,4981.503,0.310764555831222,0.84849011197969,"asynchronyWithin"
3,1998,60,0.685886077769065,5731.096,0.357526935719219,0.852357346685103,"asynchronyWithin"
3,1998,70,0.68440919906624,6434.37,0.401399765312545,0.850522015055964,"asynchronyWithin"
3,1998,80,0.708615370531045,7085.659,0.442029578604389,0.880603261420163,"asynchronyWithin"
3,1998,90,0.716235792667126,7669.915,0.478477625776443,0.890073234646121,"asynchronyWithin"
3,1998,100,0.723682093226704,8226.105,0.513174812209487,0.899326825283543,"asynchronyWithin"
3,1998,110,0.730050698138572,8743.846,0.545473408014932,0.907241152984175,"asynchronyWithin"
3,1998,120,0.736696695318534,9236.923,0.57623337240632,0.915500198773257,"asynchronyWithin"
3,1998,130,0.748089222496022,9699.564,0.605094626705336,0.929657803879672,"asynchronyWithin"
3,1998,140,0.751764121971999,10132.691,0.632114688677297,0.934224637451898,"asynchronyWithin"
3,1998,150,0.756894584757937,10547.919,0.658018144921063,0.94060031380578,"asynchronyWithin"
3,1998,160,0.758696842956545,10941.379,0.682563632926862,0.942839997721225,"asynchronyWithin"
3,1998,170,0.763258176427541,11307.77,0.705420456735973,0.948508411501149,"asynchronyWithin"
3,1998,180,0.766633650513514,11644.005,0.726396037886865,0.952703146208525,"asynchronyWithin"
3,1998,190,0.767072296674205,11962.317,0.746253516100919,0.95324825608869,"asynchronyWithin"
3,1998,200,0.773164599538249,12265.321,0.765156024736382,0.96081922052828,"asynchronyWithin"
3,1998,210,0.77765825242384,12555.839,0.783279610576032,0.966403526981829,"asynchronyWithin"
3,1998,220,0.777399279400366,12836.795,0.800806683539376,0.966081698669074,"asynchronyWithin"
3,1998,230,0.780763035384626,13096.481,0.817006855344068,0.97026187117668,"asynchronyWithin"
3,1998,240,0.779558684066798,13338.948,0.832132842332077,0.968765211998118,"asynchronyWithin"
3,1998,250,0.782769520064746,13573.851,0.846786959063197,0.972755349340975,"asynchronyWithin"
3,1998,260,0.784377033915064,13799.092,0.86083832454867,0.974753022547396,"asynchronyWithin"
3,1998,270,0.7854819967923,14010.746,0.874042082791895,0.976126170737384,"asynchronyWithin"
3,1998,280,0.785577933968031,14210.505,0.886503787002108,0.976245392805312,"asynchronyWithin"
3,1998,290,0.786185858934535,14400.094,0.898331049050427,0.977000867115446,"asynchronyWithin"
3,1998,300,0.789640031246471,14576.97,0.909365227204531,0.981293400879028,"asynchronyWithin"
3,1998,310,0.790436870397012,14746.939,0.91996852118831,0.982283640695966,"asynchronyWithin"
3,1998,320,0.791935008208814,14905.398,0.929853778861036,0.984145391228051,"asynchronyWithin"
3,1998,330,0.79332981356327,15050.192,0.938886563363429,0.985878729503312,"asynchronyWithin"
3,1998,340,0.794760671025531,15183.236,0.947186339468354,0.987656870086052,"asynchronyWithin"
3,1998,350,0.796835621492052,15310.018,0.955095468885197,0.99023543135369,"asynchronyWithin"
3,1998,360,0.798170768636777,15426.551,0.962365227828367,0.991894631787403,"asynchronyWithin"
3,1998,370,0.799232404251926,15533.898,0.969061930163951,0.99321393676443,"asynchronyWithin"
3,1998,380,0.800480917454429,15633.356,0.975266487542288,0.994765476349616,"asynchronyWithin"
3,1998,390,0.80089267837909,15723.036,0.980861057166545,0.995277175683642,"asynchronyWithin"
3,1998,400,0.801779406447702,15804.822,0.98596316991509,0.996379121339474,"asynchronyWithin"
3,1998,410,0.802741010831491,15879.34,0.990611877979991,0.997574116525546,"asynchronyWithin"
3,1998,420,0.803394820838801,15941.08,0.994463447210607,0.998386612625305,"asynchronyWithin"
3,1998,430,0.8041961627547,15992.725,0.997685253056333,0.999382448072855,"asynchronyWithin"
