"asynchronyBetween","meanStabilityProduction","sdStabilityProduction","det"
0,3.27415443986472,1.61112450062899,"none"
0.1,3.62978202320607,1.42695000792834,"none"
0.2,3.97850545544515,1.39879788573041,"none"
0.3,4.6638979020486,1.79822576947333,"none"
0.4,5.17453948567524,1.91442429660007,"none"
0.5,5.91076509312184,2.19185015135469,"none"
0.6,6.45128415368156,2.23116300235457,"none"
0.7,7.55007918120523,2.60240280136224,"none"
0.8,8.93290153880994,3.025988024877,"none"
0.9,12.2494835721402,4.61223899075574,"none"
1,20.0435582324239,10.1241757505797,"none"
0,4.04548243497785,1.74431245874242,"lm"
0.1,4.65960387058539,2.36227339713247,"lm"
0.2,4.97880295208838,2.01560285090449,"lm"
0.3,5.51629385310033,2.17141739976745,"lm"
0.4,6.23051468866331,2.1726410842177,"lm"
0.5,6.70190266011295,2.45771711182247,"lm"
0.6,7.50318706790922,2.70592137318457,"lm"
0.7,8.81648416003881,3.174760416359,"lm"
0.8,10.3872122863986,3.70180904557525,"lm"
0.9,13.8176001031957,4.95184152151969,"lm"
1,22.936886804953,10.5050311205351,"lm"
0,4.91554536153815,2.97026756177529,"loess"
0.1,5.2243345547585,1.98473944706875,"loess"
0.2,5.84498730435356,2.38055445483646,"loess"
0.3,6.18156758439341,2.58879705124128,"loess"
0.4,6.54762595726008,2.60622253980493,"loess"
0.5,6.94195696361891,2.91192387161188,"loess"
0.6,7.53425319690042,2.95206162397352,"loess"
0.7,8.43430906228924,3.60776686552596,"loess"
0.8,9.42876809818116,4.00082865810183,"loess"
0.9,10.8839483195348,4.81460256223823,"loess"
1,13.9525443962772,7.23176005094167,"loess"
