"district","timePeriod","nFarms","nCrops","nCropsFarmMin","nCropsFarmMax","stabilityProduction0","stabilityProduction1","stabilityProduction2","asynchronyBetween_region0","asynchronyBetween_region1","asynchronyBetween_region2","asynchronyBetween_farm0","asynchronyBetween_farm1","asynchronyBetween_farm2","asynchronyWithin0","asynchronyWithin1","asynchronyWithin2","areaHarvested"
59,2009,50,7,1,4,14.5558736553531,22.9186693761518,29.4659728016637,0.5864837429,0.7622418277,0.6869265164,0.585027873798405,0.612260952014035,0.577767387289047,0.821335852561457,0.825290960733265,0.81611090943273,17831.674
65,1999,78,7,1,5,7.46063983144658,17.7407491763874,23.1569787853975,0.1305443863,0.2701814852,0.2938933867,0.452701230160358,0.541512256894942,0.548943524986643,0.707045864686408,0.883555554307161,0.849958174438355,24075.89
65,2009,3,3,2,3,9.56076810034651,9.57554169755794,16.5399792471231,0.8267059057,0.8195698199,0.8591662062,0.792622839854345,0.80180882166443,0.851148726496434,0.24684166656262,0.204789481947454,0.259711391289896,3671.21
95,1999,166,7,1,5,7.24223115448206,9.52153047757901,11.4137091373494,0.1887694369,0.2376495009,0.1237281981,0.361472698095779,0.384765820144688,0.356174242566252,0.713785541843532,0.740677212745292,0.6745746478087,28327.08
95,2009,149,7,1,5,10.9680227522236,16.6410543728668,28.2101755819109,0.4805368539,0.6311312586,0.6299056254,0.43962099633986,0.496221089877019,0.515858373972991,0.825850721360222,0.849757786372502,0.863488059366797,34572.88
91,1999,101,7,1,5,10.0156197206003,13.9557053981337,18.6982270679681,0.4695960883,0.5182365075,0.4185878409,0.486433384701841,0.538056809587021,0.539504165439015,0.696192685160915,0.743661072180228,0.72997612376386,27584.7266
91,2009,112,7,1,5,10.6663239056625,15.8505917595103,17.9382677188846,0.4932975952,0.6079098556,0.2632289177,0.514021381418195,0.531835521236252,0.470856992181537,0.749357827942804,0.793635058181012,0.821086658259869,37505.7532
84,1999,66,7,1,4,10.3273438197765,24.5707179719386,33.6233458778808,0.143107081,0.438595614,0.3102726449,0.371194989466174,0.464832830967237,0.453830323526499,0.857792023476511,0.933805088916132,0.932896333852786,12137.06
84,2009,81,7,1,4,22.9309590165624,24.7173550339272,38.5447245498875,0.6136413899,0.5282894727,0.5440381937,0.504696770736696,0.4800548442203,0.493543484308117,0.908000798692807,0.911686901940199,0.904616868062404,22051.6967
1,1999,159,7,1,5,13.6278776017144,15.1799149110871,41.5554037351083,0.6277802029,0.6293308466,0.7601392365,0.530335217833316,0.561511127217534,0.584875220981733,0.798402634654618,0.78330798773634,0.873643558877743,82230.24
1,2009,108,7,1,3,11.0745050186029,11.2452984661075,15.2089804058128,0.607479206,0.5443205756,0.4679106847,0.530435504008373,0.556767519572234,0.565650810656313,0.766466079995514,0.740248899276905,0.729744677837863,72963.76
