"REGION_ID","timePeriod","no","asynchrony0","asynchrony1","asynchrony2","metric","rep"
3,1999,1,0,0,0,"asynchronyBetween",10
3,1999,2,0.1010599445,0.1699312944,0.1426833884,"asynchronyBetween",10
3,1999,3,0.1365892348,0.1548241906,0.3378840016,"asynchronyBetween",10
3,1999,4,0.4805424912,0.5316177942,0.6770110609,"asynchronyBetween",10
3,1999,5,0.4863344139,0.5507325859,0.7024178724,"asynchronyBetween",10
3,1999,6,0.6704522599,0.7110500865,0.7384696365,"asynchronyBetween",10
3,1999,7,0.4511575286,0.5403607027,0.5930192516,"asynchronyBetween",10
3,1999,8,0.4724677651,0.5510546767,0.6962281903,"asynchronyBetween",10
3,1999,1,0,0,0,"asynchronyWithin",1
3,1999,2,0.24980354122312,0.312434930545851,0.357564697451835,"asynchronyWithin",1
3,1999,3,0.452386892515615,0.477800459644269,0.558221470369347,"asynchronyWithin",1
3,1999,5,0.584644739296998,0.589897351668876,0.64040579730135,"asynchronyWithin",1
3,1999,10,0.723574165056008,0.699386782423026,0.699430140570688,"asynchronyWithin",1
3,1999,20,0.766698988979793,0.766785284014167,0.732313268635569,"asynchronyWithin",1
3,1999,30,0.792503035813085,0.778762322772769,0.755971763570691,"asynchronyWithin",1
3,1999,40,0.795896166961934,0.789459587375448,0.764314493031861,"asynchronyWithin",1
3,1999,50,0.791868429771498,0.779868997097316,0.765252903464802,"asynchronyWithin",1
3,1999,60,0.774520462446161,0.764680994561702,0.75841545225735,"asynchronyWithin",1
3,1999,70,0.770670832696398,0.75363082637769,0.750606100057159,"asynchronyWithin",1
3,1999,80,0.790807508224136,0.765900803226412,0.751628470403712,"asynchronyWithin",1
3,1999,90,0.79232597059451,0.77091374503221,0.778943546867076,"asynchronyWithin",1
3,1999,100,0.77304110859187,0.760278026871255,0.778412427245884,"asynchronyWithin",1
3,1999,120,0.779916329656372,0.766904632077017,0.782502778182107,"asynchronyWithin",1
3,1999,140,0.78597448118726,0.777078262577569,0.793291349864434,"asynchronyWithin",1
3,1999,160,0.796288645470015,0.793164075700259,0.875601454421996,"asynchronyWithin",1
3,1999,180,0.80025479163228,0.795506054142662,0.883720266171107,"asynchronyWithin",1
3,1999,200,0.797395945186817,0.798238695974286,0.881998850524496,"asynchronyWithin",1
3,1999,220,0.792059167038048,0.799040072644026,0.888626808598096,"asynchronyWithin",1
3,1999,240,0.794590375614769,0.793766402213979,0.882723125221026,"asynchronyWithin",1
3,1999,260,0.9143975983,0.8942291457,0.9002462168,"asynchronyWithin",1
3,1999,280,0.9122651859,0.892840233,0.9028806044,"asynchronyWithin",1
3,1999,300,0.9196073047,0.9024097959,0.9069072978,"asynchronyWithin",1
3,1999,1,0,0,0,"asynchronyWithin",2
3,1999,2,0.436995758581665,0.460984875027962,0.46298225861454,"asynchronyWithin",2
3,1999,3,0.525562685817867,0.546976491975272,0.536779115132681,"asynchronyWithin",2
3,1999,5,0.638331538226597,0.618688003193787,0.623177695405973,"asynchronyWithin",2
3,1999,10,0.674948073471461,0.679402285704163,0.682277434484284,"asynchronyWithin",2
3,1999,20,0.725918255033818,0.769985881038633,0.763780623599125,"asynchronyWithin",2
3,1999,30,0.746308572132498,0.780228122833392,0.781549401537258,"asynchronyWithin",2
3,1999,40,0.778158948950989,0.786984265561114,0.795513436156225,"asynchronyWithin",2
3,1999,50,0.774829220272654,0.760505326910587,0.773887629566718,"asynchronyWithin",2
3,1999,60,0.775042946900303,0.761180675092914,0.765112213818367,"asynchronyWithin",2
3,1999,70,0.777747532532518,0.768158977320432,0.771445427162449,"asynchronyWithin",2
3,1999,80,0.792709048581825,0.779594893645592,0.756107037691728,"asynchronyWithin",2
3,1999,90,0.79180677375499,0.773890343414872,0.781788940739539,"asynchronyWithin",2
3,1999,100,0.771409742282569,0.759694293151569,0.782846336271832,"asynchronyWithin",2
3,1999,120,0.771752218928868,0.762689236608403,0.779787036191733,"asynchronyWithin",2
3,1999,140,0.776019827447292,0.757146353177153,0.782287393436983,"asynchronyWithin",2
3,1999,160,0.788103399606184,0.785143190466678,0.862243661209737,"asynchronyWithin",2
3,1999,180,0.787437562565627,0.787544859700396,0.876681144482279,"asynchronyWithin",2
3,1999,200,0.793350989919058,0.796414788125213,0.880832643012819,"asynchronyWithin",2
3,1999,220,0.794504265201179,0.792654118206677,0.874859156506783,"asynchronyWithin",2
3,1999,240,0.796611436490912,0.799497898765083,0.88075734818316,"asynchronyWithin",2
3,1999,260,0.9189379521,0.9015919898,0.8943267462,"asynchronyWithin",2
3,1999,280,0.9137966501,0.897529425,0.9004743655,"asynchronyWithin",2
3,1999,300,0.9202024679,0.9043338317,0.9058020972,"asynchronyWithin",2
3,1999,1,0,0,0,"asynchronyWithin",3
3,1999,2,0.332500846957648,0.386757765857376,0.497702580075814,"asynchronyWithin",3
3,1999,3,0.480488011061754,0.531094240547785,0.61590333796897,"asynchronyWithin",3
3,1999,5,0.577772631348094,0.623660813986311,0.614087727664772,"asynchronyWithin",3
3,1999,10,0.647380359149421,0.67987938334865,0.659243048431252,"asynchronyWithin",3
3,1999,20,0.783639469272864,0.774236242770406,0.776213447967989,"asynchronyWithin",3
3,1999,30,0.766904081809981,0.760181751729995,0.79382150038746,"asynchronyWithin",3
3,1999,40,0.772039433403199,0.76953774556835,0.794242041930365,"asynchronyWithin",3
3,1999,50,0.769269017769871,0.776380809114905,0.808370956052805,"asynchronyWithin",3
3,1999,60,0.770350489049994,0.777816804410963,0.808777267808193,"asynchronyWithin",3
3,1999,70,0.765758573370844,0.771339787948195,0.807578833276688,"asynchronyWithin",3
3,1999,80,0.790700287980501,0.778506736010671,0.791661311645116,"asynchronyWithin",3
3,1999,90,0.790914890370483,0.782986597666732,0.816860981612243,"asynchronyWithin",3
3,1999,100,0.774267505251135,0.77575052467887,0.824386809223531,"asynchronyWithin",3
3,1999,120,0.773463294735772,0.772337155047685,0.822466350343081,"asynchronyWithin",3
3,1999,140,0.777990175471402,0.774507097925425,0.806203014137072,"asynchronyWithin",3
3,1999,160,0.781266985938568,0.797823817747432,0.897172847898224,"asynchronyWithin",3
3,1999,180,0.779616185753737,0.793680161612443,0.891128285697208,"asynchronyWithin",3
3,1999,200,0.788631551155957,0.794931992257183,0.893419902431401,"asynchronyWithin",3
3,1999,220,0.788710157299144,0.796249074682294,0.886550180237586,"asynchronyWithin",3
3,1999,240,0.793023483017004,0.79940480291163,0.890246236466732,"asynchronyWithin",3
3,1999,260,0.9134055185,0.9003436661,0.9195593595,"asynchronyWithin",3
3,1999,280,0.9183921427,0.9035057629,0.9167789217,"asynchronyWithin",3
3,1999,300,0.9208158378,0.9055318886,0.9098489878,"asynchronyWithin",3
3,1999,1,0,0,0,"asynchronyWithin",4
3,1999,2,0.318058817917262,0.29515160994762,0.354783019402169,"asynchronyWithin",4
3,1999,3,0.439668129791774,0.4380004497979,0.48556320362241,"asynchronyWithin",4
3,1999,5,0.649031445043074,0.616473978551744,0.657920290314513,"asynchronyWithin",4
3,1999,10,0.683215405178868,0.670942363175954,0.709347998343353,"asynchronyWithin",4
3,1999,20,0.75626726794038,0.76196286983993,0.766122722642975,"asynchronyWithin",4
3,1999,30,0.767731032391648,0.756640535659593,0.753167732012433,"asynchronyWithin",4
3,1999,40,0.780024845826577,0.767427248671358,0.778145024124654,"asynchronyWithin",4
3,1999,50,0.780528567615909,0.768646306793888,0.780420257499394,"asynchronyWithin",4
3,1999,60,0.768893815907703,0.761007104681561,0.77387504300089,"asynchronyWithin",4
3,1999,70,0.770403127596302,0.767796900834458,0.783169424846958,"asynchronyWithin",4
3,1999,80,0.786093284762023,0.7701166146776,0.767829087702928,"asynchronyWithin",4
3,1999,90,0.792838869762395,0.771582656388289,0.794466923516345,"asynchronyWithin",4
3,1999,100,0.779127626069664,0.766291255457469,0.799579116478532,"asynchronyWithin",4
3,1999,120,0.795895236531515,0.773181164522351,0.800525067302131,"asynchronyWithin",4
3,1999,140,0.795907186538516,0.768557055803738,0.787506242218973,"asynchronyWithin",4
3,1999,160,0.79822637746745,0.788630872776249,0.863615498867944,"asynchronyWithin",4
3,1999,180,0.803546988695683,0.793080425280047,0.862749904392666,"asynchronyWithin",4
3,1999,200,0.808146185745224,0.800925761995768,0.869413972423392,"asynchronyWithin",4
3,1999,220,0.802775544896516,0.795201118491838,0.880075332817779,"asynchronyWithin",4
3,1999,240,0.800146906050707,0.799309593679789,0.882786538349135,"asynchronyWithin",4
3,1999,260,0.9248953558,0.9055049678,0.8968165141,"asynchronyWithin",4
3,1999,280,0.9259622231,0.908405427,0.9088761733,"asynchronyWithin",4
3,1999,300,0.9221834801,0.9064080684,0.9086685285,"asynchronyWithin",4
3,1999,1,0,0,0,"asynchronyWithin",5
3,1999,2,0.329219366152967,0.376356122947344,0.412481485261683,"asynchronyWithin",5
3,1999,3,0.592198386275111,0.565097139677966,0.550037727518188,"asynchronyWithin",5
3,1999,5,0.655271906210087,0.668211410683651,0.635107427282694,"asynchronyWithin",5
3,1999,10,0.690158647828276,0.687560019196935,0.646677891607508,"asynchronyWithin",5
3,1999,20,0.714943450196193,0.717859286073032,0.686870499091397,"asynchronyWithin",5
3,1999,30,0.756854088437158,0.764890770137859,0.772491756046671,"asynchronyWithin",5
3,1999,40,0.776368127837888,0.778899129713474,0.796456775128693,"asynchronyWithin",5
3,1999,50,0.76624991138943,0.76467669882836,0.80007003077631,"asynchronyWithin",5
3,1999,60,0.778410455090402,0.782571251081875,0.8034688290621,"asynchronyWithin",5
3,1999,70,0.776043786252323,0.781948463678051,0.802895718534429,"asynchronyWithin",5
3,1999,80,0.79222940076353,0.787504008754004,0.796603998712727,"asynchronyWithin",5
