"district","Year","timePeriod","Production","AreaHarvested"
1,1999,1999,221083381695.8,9017.97
3,1999,1999,455218149895.1,19187.49
7,1999,1999,128610072899.2,6557.16
10,1999,1999,33386695973.2,1974.19
12,1999,1999,346173966619,22151.76
13,1999,1999,497652911990.56,22116.2928
15,1999,1999,1175819298294.9,58086.57
16,1999,1999,409150412336.8,22421.9
51,1999,1999,32251084624,1282.28
53,1999,1999,48262736923.3,1617.73
55,1999,1999,86335435501.2,3921.52
57,1999,1999,121867773830.1,5427.1
59,1999,1999,30427908504.8,1300.33
64,1999,1999,71933272426,2956.66
65,1999,1999,49432733335.9,2446.17
66,1999,1999,81608962118.4,3920.76
81,1999,1999,105184743381.4,4591.78
82,1999,1999,45750107595.6,2114.03
83,1999,1999,7777826089.2,412.46
84,1999,1999,26128311004.1,1227.85
91,1999,1999,87798423113.8,3223.69
92,1999,1999,81491181908.7,3108.59
93,1999,1999,43997721835.2,1837.06
94,1999,1999,45731796708.5,2585.31
95,1999,1999,63944877816.2,2818.53
96,1999,1999,78706187024.5,3640.96
97,1999,1999,48000327902.8,1920.03
145,1999,1999,94837172001.9,5134.93
146,1999,1999,192293968634.3,10213.35
147,1999,1999,125034022721.8,5674.62
1,2000,1999,234594667238.6,8688.7
3,2000,1999,492045048357.5,19081.67
7,2000,1999,131115794698.9,6560.48
10,2000,1999,30133579974.842,1784.3592
12,2000,1999,408566324975.6,22888.08
13,2000,1999,524520641941.74,21663.236
15,2000,1999,1305217517260.2,55453.1
16,2000,1999,432344874443.5,21724.51
51,2000,1999,35070417317.4,1249.56
53,2000,1999,56428319779,1698.66
55,2000,1999,93164690510,3956.73
57,2000,1999,138346203825.8,5351.84
59,2000,1999,30935484575.7,1257.85
64,2000,1999,73454647792.1,2912.59
65,2000,1999,49453510451.1,2379.8
66,2000,1999,87851122273.2,3923.77
81,2000,1999,100805898316.3,4575.19
82,2000,1999,49212143689.8,2207.35
83,2000,1999,6948648808.5,414.33
84,2000,1999,25378942970.2,1246.26
91,2000,1999,80720340540.3,3193.27
92,2000,1999,75950961106.8,2979.79
93,2000,1999,41653167416.8,1787.61
94,2000,1999,44758261114.6,2630.7
95,2000,1999,60285824029.9,2717.32
96,2000,1999,77232961659.1,3540.34
97,2000,1999,45742151657.7,1891.48
145,2000,1999,94115523014.52,5017.648
146,2000,1999,197946011083.656,9927.357
147,2000,1999,129817549552.6,5472.22
1,2001,1999,246645660931.8,9137.02
3,2001,1999,497828028127,19762.17
7,2001,1999,138362013564.2,6753
10,2001,1999,30381760393.89,1964.618
12,2001,1999,339047065752.9,23795.63
13,2001,1999,506947536376.8,22049.1432
