"REGION_ID","timePeriod","no","asynchrony1","asynchrony2","AreaHarvested","propNo","propAsynchrony1","propAsynchrony2","metric","rep"
3,1998,1,0,0,12.6413333333333,0.115583959808767,0,0,"asynchronyBetween",1
3,1998,2,0.4144851575,0.3699773852,26.339308249497,0.240829148779183,0.898972665225295,0.950198172089127,"asynchronyBetween",1
3,1998,3,0.4378654584,0.3159507971,53.5281564141748,0.489425926559437,0.949681963335306,0.811443839228805,"asynchronyBetween",1
3,1998,4,0.4477684926,0.3429048434,67.4720421284605,0.616919560615289,0.971160554033916,0.8806688420241,"asynchronyBetween",1
3,1998,5,0.4302734934,0.3646174596,82.7748417417838,0.756838201222922,0.933215827246109,0.936432488803105,"asynchronyBetween",1
3,1998,6,0.4521608931,0.3685160298,95.4253845049417,0.872506365944149,0.980687187045429,0.946445031261068,"asynchronyBetween",1
3,1998,7,0.4610653622,0.389368656,109.369270219227,1,1,1,"asynchronyBetween",1
3,1998,1,0,0,12.9672624113475,0.118564038923868,0,0,"asynchronyBetween",2
3,1998,2,0.4096284369,0.5706593252,25.6085957446809,0.234147998732635,0.887960303183333,1,"asynchronyBetween",2
3,1998,3,0.4531273871,0.357456128,38.9806415828303,0.35641310858795,0.98225390569799,0.626391460219671,"asynchronyBetween",2
3,1998,4,0.4101697387,0.2743767614,65.9143695195615,0.602677236370309,0.889133694645311,0.480806585091444,"asynchronyBetween",2
3,1998,5,0.4613139072,0.4011476172,84.3325143506828,0.771080525467902,1,0.702954634202129,"asynchronyBetween",2
3,1998,6,0.4521608931,0.3685160298,95.4253845049417,0.872506365944149,0.980158816031463,0.645772378591808,"asynchronyBetween",2
3,1998,7,0.4610653622,0.389368656,109.369270219227,1,0.99946122370013,0.682313665624473,"asynchronyBetween",2
3,1998,1,0,0,12.3954225352113,0.113335514723332,0,0,"asynchronyBetween",3
3,1998,2,0.2495448177,0.4011999519,26.585219047619,0.243077593864618,0.41077956459819,0.769394583308756,"asynchronyBetween",3
3,1998,3,0.1213032432,0.1355527476,54.4955702872885,0.498271316778961,0.199679135336515,0.259954043519064,"asynchronyBetween",3
3,1998,4,0.4311735087,0.3993881289,71.6819715875249,0.655412360746675,0.709761347891377,0.765919989666577,"asynchronyBetween",3
3,1998,5,0.4513618502,0.3356446894,79.8674646636718,0.73025507533862,0.742993687507819,0.643677061070729,"asynchronyBetween",3
3,1998,6,0.6074908277,0.5214488906,81.458918979558,0.744806277085657,1,1,"asynchronyBetween",3
3,1998,7,0.4610653622,0.389368656,109.369270219227,1,0.758966787935916,0.746705310949989,"asynchronyBetween",3
3,1998,1,0,0,27.9103512396694,0.255193722914343,0,0,"asynchronyBetween",4
3,1998,2,0.2013407262,0.199119323,29.2558947574335,0.267496479575944,0.436685864319304,0.511390220891329,"asynchronyBetween",4
3,1998,3,0.4058373692,0.2965652855,54.8214993653027,0.501251395894063,0.880216564661296,0.761656802441746,"asynchronyBetween",4
3,1998,4,0.1884324768,0.1512656429,65.5976498713719,0.599781362167668,0.40868929277377,0.388489521611621,"asynchronyBetween",4
3,1998,5,0.4513618502,0.3356446894,79.8674646636718,0.73025507533862,0.97895415098263,0.862022877876436,"asynchronyBetween",4
3,1998,6,0.4507812487,0.340294125,92.5087979970051,0.845839035147387,0.977694890262568,0.87396383801371,"asynchronyBetween",4
3,1998,7,0.4610653622,0.389368656,109.369270219227,1,1,1,"asynchronyBetween",4
3,1998,1,0,0,16.8604722222222,0.154160964852613,0,0,"asynchronyBetween",5
3,1998,2,0.2495448177,0.4011999519,26.585219047619,0.243077593864618,0.540943626032526,1,"asynchronyBetween",5
3,1998,3,0.4531273871,0.357456128,38.9806415828303,0.35641310858795,0.98225390569799,0.890967524565149,"asynchronyBetween",5
3,1998,4,0.1884324768,0.1512656429,65.5976498713719,0.599781362167668,0.408469100668812,0.377033053427941,"asynchronyBetween",5
3,1998,5,0.4613139072,0.4011476172,84.3325143506828,0.771080525467902,1,0.999869554570602,"asynchronyBetween",5
3,1998,6,0.2767351886,0.2767970194,96.4020078078799,0.881435961076132,0.599884773211537,0.6899228628746,"asynchronyBetween",5
3,1998,7,0.4610653622,0.389368656,109.369270219227,1,0.99946122370013,0.970510226025777,"asynchronyBetween",5
3,1998,1,0,0,16.8604722222222,0.154160964852613,0,0,"asynchronyBetween",6
3,1998,2,0.2495448177,0.4011999519,26.585219047619,0.243077593864618,0.459516618231167,0.718857805799543,"asynchronyBetween",6
3,1998,3,0.42311383,0.3786588192,57.7380858732392,0.527918726690824,0.779129929767469,0.678469293497335,"asynchronyBetween",6
3,1998,4,0.5430593972,0.5581075265,51.9479039941778,0.474977147511818,1,1,"asynchronyBetween",6
3,1998,5,0.4514075831,0.381527598,83.0299619697304,0.759170851220817,0.831230589927079,0.683609483628779,"asynchronyBetween",6
3,1998,6,0.4585384743,0.4013073863,96.9738476840161,0.886664485276669,0.844361549886094,0.719050303472301,"asynchronyBetween",6
3,1998,7,0.4610653622,0.389368656,109.369270219227,1,0.849014609777938,0.697658851586908,"asynchronyBetween",6
3,1998,1,0,0,12.9672624113475,0.118564038923868,0,0,"asynchronyBetween",7
3,1998,2,0.1555707786,0.1190367902,26.9111481256332,0.24605767297972,0.261306098856797,0.223644545066963,"asynchronyBetween",7
3,1998,3,0.4531273871,0.357456128,38.9806415828303,0.35641310858795,0.761100194225515,0.671583239044344,"asynchronyBetween",7
3,1998,4,0.5953583911,0.5322588582,56.4221631110133,0.515886802553559,1,1,"asynchronyBetween",7
