"district","timePeriod","nFarms","nCrops","nCropsFarmMin","nCropsFarmMax","stabilityProduction1","stabilityProduction2","asynchronyBetween_region1","asynchronyBetween_region2","asynchronyBetween_farm1","asynchronyBetween_farm2","asynchronyWithin1","asynchronyWithin2","areaHarvested"
3,1998,444,7,1,6,15.1623698003877,23.691568234803,0.461065362173481,0.389368656009501,0.479329532877031,0.467844599941746,0.804765149556501,0.82042408541165,160344.67
3,2008,436,7,1,6,19.7861948251769,35.7578228098947,0.717180144145736,0.73415208322535,0.543044501272684,0.556657798918384,0.815292324584039,0.856356040905417,217174.1
53,1998,32,4,1,4,15.6096086731314,23.1340485044906,0.459263983378954,0.476162280452731,0.502984633042657,0.533527325486567,0.695665338061748,0.638686317897515,12882.23
53,2008,42,6,1,4,13.7753929255209,36.6924388934779,0.517126392140768,0.768126438850654,0.533099282814701,0.578226733208388,0.653607189780499,0.7352613712477,26167.96
81,1998,182,8,1,5,13.3541879632526,16.212822580557,0.338701544971242,0.264292947475473,0.496134760700365,0.470482676229163,0.831849730774213,0.782787131451528,39667.3736
81,2008,290,8,1,5,20.6196788258565,59.3368196492361,0.75282317484095,0.902914500574916,0.540281830470901,0.57942977166272,0.84392717999407,0.883592978882154,76585.7106
51,1998,54,6,1,4,18.1585905172612,45.6890927144975,0.570757545939033,0.755583937163249,0.446578644232349,0.529714564411918,0.805832609012487,0.847191252571626,9171.36
51,2008,59,6,1,5,17.0847070312658,33.1609557294298,0.664077349367103,0.651272342229718,0.512152079141834,0.54762977810905,0.831311750118349,0.891633151937154,15650.65
146,1998,45,7,1,6,6.96514772079756,10.245109028718,0.253253773184044,0.265498089702604,0.423899735347295,0.385765200899279,0.533182127734304,0.474499118815227,89780.628
146,2008,50,8,1,5,11.6153041218211,20.1459472235824,0.595854003670264,0.515413031837695,0.592446814039354,0.587471729346717,0.635536505720555,0.746896258213093,88585.5092
57,1998,119,7,1,5,23.0416766984841,29.8537689378144,0.5288481673064,0.502809899565804,0.621235215326681,0.616486271780033,0.890485640468115,0.854277164167886,46312.23
57,2008,140,7,1,5,18.319522171924,53.7839827437335,0.75715397964817,0.922449900203647,0.604301105120737,0.653991797873675,0.781482635225037,0.808248418631764,61736.9784
66,1998,172,7,1,5,21.0263878264644,32.0113777264503,0.458064543705203,0.442875251299231,0.550561269883123,0.548176216103253,0.902608951893834,0.896382470220412,40626.81
66,2008,44,5,1,5,12.3819232466654,23.1965815774892,0.470296029996071,0.708215738642906,0.559619238089581,0.610756668019174,0.682539039530137,0.663537758739016,18861.64
59,1998,33,7,1,4,29.2484939464268,87.5209307579613,0.743067237773227,0.909949020550464,0.558304447123283,0.575466256495613,0.856140115632279,0.892005393322567,6910
59,2008,50,7,1,4,19.1299898778542,36.8389566765986,0.673740470648754,0.76624002807858,0.626245852024384,0.614352813002535,0.837231656119008,0.841734747221682,16988.6
65,1998,74,7,1,5,16.4007890609678,19.8266130158135,0.294918078963879,0.189906405031923,0.512329175643083,0.508762176263295,0.863220741311649,0.825985229167904,21263.24
65,2008,3,4,3,4,8.58374950078307,25.6622553588694,0.803176170776191,0.933773874649251,0.787617451752857,0.862518237741164,0.215906136767945,0.287942933487418,3859.47
95,1998,172,7,1,5,9.14055278002555,10.6073010729736,0.206233345141249,0.122494368175312,0.384570276269753,0.338101616470434,0.739351996366152,0.642497609530496,28322.1532
95,2008,156,7,1,5,18.0057841581056,30.1851534069131,0.606978032914222,0.645367210547498,0.497657116178263,0.51565506662746,0.858153115651758,0.869202045009385,36504.09
84,1998,59,6,1,4,25.3876554320242,34.9910501915359,0.380269164744537,0.31800915783367,0.42179583560679,0.476319258295543,0.934040256080937,0.928738816364715,9607.0119
84,2008,85,7,1,4,22.652042506389,35.8352207540318,0.457400641144467,0.492461609366582,0.487294351337378,0.503293712652014,0.898452237815694,0.890738729722865,21797.1599
1,1998,160,7,1,5,20.4051907351119,29.588737157078,0.693023074677649,0.613521517317959,0.572269433409766,0.564463446952669,0.831232132816423,0.853799440427578,79392.73
1,2008,118,7,1,4,9.36637207235628,16.4676824982684,0.468163167371418,0.516507812690278,0.507500103093288,0.578841275534561,0.694382408001419,0.752529197350907,76688.56
92,1998,144,7,1,5,17.8993383812904,21.455974820782,0.482728426925652,0.316634489457144,0.529709933100725,0.49583325845512,0.840725333265956,0.810720367625019,26436.01
92,2008,143,7,1,5,22.7122946476666,25.7363742711554,0.606914314369883,0.285756985648197,0.538701613254782,0.540414557380459,0.897598757722751,0.906056677785526,36378.29
15,1998,50,9,1,7,10.3331246762899,13.8291152132401,0.307635517437699,0.19887949035858,0.502882408355793,0.45980138668916,0.648188067364112,0.580387990609359,318896.35
15,2008,150,8,1,6,9.15433163372727,15.1487012199728,0.333697879759628,0.311348045141638,0.522508570257504,0.539390601437142,0.648844074687323,0.724482721363036,512698.3932
64,1998,92,7,1,5,17.6680920737892,22.6317682444964,0.437500805550474,0.310324670119929,0.559393085753975,0.519424300929463,0.842224506860133,0.812222273296061,28581.24
64,2008,14,4,2,4,17.0676307722593,45.8904791277162,0.615437249105081,0.785221929275753,0.614390639201939,0.620794860954461,0.686016825282171,0.800097377714587,9003.87
13,1998,64,6,1,6,17.0620573178196,23.3673702182865,0.508679927861317,0.238806669587891,0.623307627043495,0.596455733735285,0.795455293065666,0.82731993361454,176516.8987
13,2008,93,7,1,7,8.01263895393238,23.9957817874652,0.224182021521632,0.565203597455221,0.486156573135607,0.667034735210985,0.625102149660376,0.814742746946981,303798.8477
55,1998,141,7,1,4,27.4115432327579,47.3768528398103,0.680879707250456,0.793973194774031,0.4509328546334,0.472890454563408,0.922172756064854,0.900625509535801,32112.01
55,2008,161,7,1,4,15.8105849143042,38.7628539707639,0.425473709204118,0.712973263505555,0.471663695850642,0.517623674363613,0.878673651900073,0.909743030750471,46956.55
