"REGION_ID","timePeriod","no","asynchrony0","asynchrony1","asynchrony2","metric","rep"
3,1999,1,0,0,0,"asynchronyBetween",1
3,1999,2,0.0636657007,0.1086168383,0.1352673571,"asynchronyBetween",1
3,1999,3,0.31449339,0.3823740317,0.316254843,"asynchronyBetween",1
3,1999,4,0.128295213,0.1521686573,0.0594966287,"asynchronyBetween",1
3,1999,5,0.157627851,0.2852042842,0.3639306644,"asynchronyBetween",1
3,1999,6,0.2407652168,0.3119052656,0.3548581076,"asynchronyBetween",1
3,1999,7,0.2453610269,0.3199705692,0.3607320071,"asynchronyBetween",1
3,1999,8,0.2512651143,0.3382174668,0.3428013939,"asynchronyBetween",1
3,1999,1,0,0,0,"asynchronyBetween",2
3,1999,2,0.1884121625,0.1937982668,0.1556875398,"asynchronyBetween",2
3,1999,3,0.2294771327,0.2637844651,0.2843103076,"asynchronyBetween",2
3,1999,4,0.2519195619,0.3141476918,0.2750841936,"asynchronyBetween",2
3,1999,5,0.2064804358,0.2898512731,0.3132514475,"asynchronyBetween",2
3,1999,6,0.349846152,0.4065599592,0.2942241092,"asynchronyBetween",2
3,1999,7,0.2371627723,0.308000634,0.2809132754,"asynchronyBetween",2
3,1999,8,0.2512651143,0.3382174668,0.3428013939,"asynchronyBetween",2
3,1999,1,0,0,0,"asynchronyBetween",3
3,1999,2,0.0847031239,0.2794556211,0.1001700212,"asynchronyBetween",3
3,1999,3,0.3157454405,0.3321548862,0.1492934969,"asynchronyBetween",3
3,1999,4,0.1485860202,0.184671049,0.2029548388,"asynchronyBetween",3
3,1999,5,0.3224024425,0.3418256207,0.3134020035,"asynchronyBetween",3
3,1999,6,0.349846152,0.4065599592,0.2942241092,"asynchronyBetween",3
3,1999,7,0.2199278906,0.3215843306,0.3073964814,"asynchronyBetween",3
3,1999,8,0.2512651143,0.3382174668,0.3428013939,"asynchronyBetween",3
3,1999,1,0,0,0,"asynchronyBetween",4
3,1999,2,0.1880574934,0.3299862759,0.3555130562,"asynchronyBetween",4
3,1999,3,0.4405318012,0.4993227067,0.4000504868,"asynchronyBetween",4
3,1999,4,0.168954408,0.2391871929,0.2571925862,"asynchronyBetween",4
3,1999,5,0.2040381963,0.2553096838,0.2551027097,"asynchronyBetween",4
3,1999,6,0.3949016445,0.4607458399,0.391362305,"asynchronyBetween",4
3,1999,7,0.2142260326,0.3258471155,0.3728025701,"asynchronyBetween",4
3,1999,8,0.2512651143,0.3382174668,0.3428013939,"asynchronyBetween",4
3,1999,1,0,0,0,"asynchronyBetween",5
3,1999,2,0.0758607445,0.1332162526,0.2182640452,"asynchronyBetween",5
3,1999,3,0.1201282853,0.1383974984,0.0487796318,"asynchronyBetween",5
3,1999,4,0.2519195619,0.3141476918,0.2750841936,"asynchronyBetween",5
3,1999,5,0.1774778359,0.2554282549,0.3302866347,"asynchronyBetween",5
3,1999,6,0.4058414088,0.5610777388,0.417445953,"asynchronyBetween",5
3,1999,7,0.226151401,0.294559338,0.2857147589,"asynchronyBetween",5
3,1999,8,0.2512651143,0.3382174668,0.3428013939,"asynchronyBetween",5
3,1999,1,0,0,0,"asynchronyBetween",6
3,1999,2,0.2098912267,0.2377695276,0.0626356224,"asynchronyBetween",6
3,1999,3,0.1426583298,0.1642511589,0.1397137224,"asynchronyBetween",6
3,1999,4,0.1712856943,0.225811209,0.2382109505,"asynchronyBetween",6
3,1999,5,0.279656477,0.3686870395,0.2914498052,"asynchronyBetween",6
3,1999,6,0.197947584,0.2777477133,0.2152596304,"asynchronyBetween",6
3,1999,7,0.2389645997,0.3114023671,0.3211799169,"asynchronyBetween",6
3,1999,8,0.2512651143,0.3382174668,0.3428013939,"asynchronyBetween",6
3,1999,1,0,0,0,"asynchronyBetween",7
3,1999,2,0.104741682,0.1766185484,0.1798578612,"asynchronyBetween",7
3,1999,3,0.0537499085,0.0959554524,0.044125348,"asynchronyBetween",7
3,1999,4,0.1006961817,0.1799893295,0.1296780304,"asynchronyBetween",7
3,1999,5,0.1754807846,0.2504905413,0.2648230096,"asynchronyBetween",7
3,1999,6,0.4058414088,0.5610777388,0.417445953,"asynchronyBetween",7
3,1999,7,0.226151401,0.294559338,0.2857147589,"asynchronyBetween",7
